Y, X, caps_nmmb01, caps_nmmb02, caps_nmmb03, caps_nmmb04, caps_nmmb05, caps_nmmb_rad, core01_arw, core03_arw, core04_arw, core05_arw, core06_arw, core07_arw, core08_arw, core09_arw, core10_arw, s_phys_rad02_arw, s_phys_rad03_arw, s_phys_rad04_arw, s_phys_rad05_arw, s_phys_rad06_arw, s_phys_rad07_arw, s_phys_rad08_arw, s_phys_rad09_arw, s_phys_rad10_arw, 
1, 37, 128.1564432962047, 75.28341589177083, 81.66115521368366, 94.86274075385622, 86.15784025554494, 69.47951211808173, 68.89099935163277, 621.0675325598659, 72.83742956635231, 94.97561090441413, 244.9016537306353, 98.73551054036571, 80.44506407066461, 114.47011072764803, 62.829467028483805, 2564.171289130272, 55.911942485483365, 55.77425901569648, 91.65832443100845, 905.3931374454598, 71.22331371585197, 67.03536457845713, 60.24255443275404, 61.34456560418915, 
1, 38, 30.447541764141924, 42.92169165565744, 40.21656057884198, 48.738513604061964, 39.866010938203985, 41.77301168467906, 61.93836822465808, 1309.438230692842, 40.38574740858463, 302.0481749655177, 74.89632000305488, 34.896213306388994, 13.628002822772675, 156.0148897808582, 16.58321719232781, 3553.453306292345, 30.483563706528802, 565.4548316768252, 13.195398380172474, 41.32975244905297, 27.47692805829708, 5.895329272107072, 37.15620531956944, 14.838000531258414, 
1, 48, 431.848507388104, 532.5066509756787, 702.1930646196956, 700.2436480730594, 570.6492209171352, 501.0025282704004, 32.148988895129605, 103.71337907907542, 188.57149395742013, 123.272868061062, 26.898716279778114, 178.18674660778413, 310.76617683825674, 314.7351002562843, 49.372484113117096, 141.2515707877261, 94.03742052147823, 38.69614705464873, 15.307687913097512, 55.749378733459146, 134.98099403249333, 152.57100123112082, 252.06141778013813, 43.211992572471516, 
1, 49, 448.4579876272321, 454.9715558874716, 711.0102202734735, 1590.3519107417706, 955.5733008688205, 447.825710144769, 403.18471779900915, 295.97967835647097, 234.96087440252685, 289.67480329960813, 60.26586150135083, 316.69170076485005, 923.5387376823995, 889.6011840519699, 173.80946224721677, 683.247344183154, 209.2208362791176, 347.76279032313585, 329.289626823156, 303.2905235358775, 479.2457615879352, 709.7467623502531, 1348.043273291576, 235.7566542008942, 
1, 50, 2705.895095281165, 3229.1923448441407, 2370.700599682156, 3599.3674999921864, 2399.093940080991, 3194.0482985285826, 2788.596301606479, 398.75466141476016, 3024.5101862395286, 2417.6498781530245, 91.53206746818297, 3237.747694514403, 1326.4547736981713, 4491.1767722947625, 1204.9161519928819, 1533.9854845032487, 2809.856556243871, 2526.1350716064253, 1605.183354012868, 1213.52335508359, 2890.1080948642734, 1158.2250788742806, 2848.7202272833556, 1230.2846283143858, 
1, 51, 323.23324911483553, 1284.2012303373642, 699.4575278981085, 413.7595517527863, 876.63044285111, 629.1655584979203, 225.47589486831328, 590.1879361694882, 734.104465772186, 696.3388782290799, 66.0574915319981, 2460.1584772801393, 203.85179461232778, 491.88084600507335, 249.35528535271382, 139.22998060762632, 443.45300389857175, 590.8409543467119, 128.04144023192907, 162.47323497528242, 1231.2889723104538, 230.84017739553053, 274.5430294143342, 220.3174698021017, 
1, 52, 528.3084168677736, 957.5352735017128, 862.4873332403207, 943.5913310326669, 714.4224473890314, 697.3258683475515, 436.7884690175173, 358.99350969063494, 830.6397935728018, 900.4311189646879, 503.4917476980134, 528.0788293427412, 573.6368770107678, 945.507200748184, 516.5174085481857, 509.43337804532075, 778.6584189060909, 733.5916211807947, 512.27395014777, 508.9635383142228, 648.1849530290975, 599.8054962513543, 753.4752816118124, 535.1603186584995, 
1, 53, 943.2301239181596, 838.5646864335114, 784.2175718510775, 779.6023772838732, 702.0316232193533, 1049.8240805011096, 750.147763221798, 869.8335472951132, 788.450378907893, 1019.2019099929774, 706.4502813362027, 1020.2596401570206, 647.4764088366463, 1009.9026355710403, 711.462156407493, 883.7168098435154, 801.5303279768438, 908.5276733998438, 827.6185111511221, 805.6761135841126, 900.8751670829131, 723.7089654458252, 808.9561998855892, 619.34252773943, 
1, 54, 627.1805428529598, 930.5475807286805, 492.7220988210968, 1386.652515953438, 803.7749270369992, 1573.8019358652896, 1096.857632815976, 659.32838555609, 1739.848958961668, 1146.353232356124, 278.55380988239955, 1306.002705459168, 731.6184798103449, 1705.032472809047, 748.1510542664496, 911.9730990184597, 1653.4191644387497, 836.1408972176878, 931.9941344593681, 456.22171145178964, 1028.25836571684, 537.4367559691714, 1300.7376368814735, 444.73537075433967, 
1, 55, 2377.838906794711, 3346.217446610426, 2953.404453620714, 3355.465352724318, 3124.0775065075877, 3424.0733637000244, 2287.99358973461, 2561.449714517152, 2863.9655491410276, 1807.3945151331332, 1955.018158483445, 2628.750273418911, 2117.4821526205756, 3261.771461440342, 1753.2249142651378, 2202.9886366782134, 2425.34627081028, 1543.4287371520159, 2414.1688424797467, 1250.7561979325415, 2288.1299496896295, 1984.7478429261487, 2320.728046684201, 1682.5421242869375, 
1, 56, 2930.696936452716, 2222.3796255365555, 2511.1432721637634, 1799.9218501553523, 1997.574929758581, 2227.2167384428485, 1213.2433666279271, 1653.823690724014, 1863.1767853140864, 1768.6116589008454, 1611.1716978646318, 1830.4614354491785, 1220.2688228419179, 1689.146766861897, 1318.3759706548053, 1379.334863862531, 1519.374344919645, 1697.0268903781891, 953.6338920151695, 1263.0673246769811, 1640.9637005938512, 1111.2575459061384, 1382.7105746805198, 1174.225191349598, 
1, 57, 1598.227351369844, 1045.4947791994628, 808.2714065625894, 1012.8081094988659, 1289.900512959559, 1005.790899408686, 667.5267285534965, 755.8888542636411, 699.8009955218222, 927.6179889013221, 791.4196358443478, 1716.9824693339183, 1326.1191500012358, 1096.0923318772009, 1099.3956521653158, 963.0498775591359, 734.3316689344127, 839.8868177716963, 696.031249298478, 568.2371863931469, 1096.007420899451, 634.1991800688487, 656.0087397791791, 903.789503516536, 
