Y, X, caps_nmmb01, caps_nmmb02, caps_nmmb03, caps_nmmb04, caps_nmmb05, caps_nmmb_rad, core01_arw, core03_arw, core04_arw, core05_arw, core06_arw, core07_arw, core08_arw, core09_arw, core10_arw, s_phys_rad02_arw, s_phys_rad03_arw, s_phys_rad04_arw, s_phys_rad05_arw, s_phys_rad06_arw, s_phys_rad07_arw, s_phys_rad08_arw, s_phys_rad09_arw, s_phys_rad10_arw,OLD BEST,, New Model Best RMSE Value,WA,,NEW BEST,,DIFF,,,,,,,,
1,37,128.1564433,75.28341589,81.66115521,94.86274075,86.15784026,69.47951212,68.89099935,621.0675326,72.83742957,94.9756109,244.9016537,98.73551054,80.44506407,114.4701107,62.82946703,2564.171289,55.91194249,55.77425902,91.65832443,905.3931374,71.22331372,67.03536458,60.24255443,61.3445656,55.77425902,,61.28108679,93.47935495,,61.28108679,,-5.506827771,,,,,,,,
1,38,30.44754176,42.92169166,40.21656058,48.7385136,39.86601094,41.77301168,61.93836822,1309.438231,40.38574741,302.048175,74.89632,34.89621331,13.62800282,156.0148898,16.58321719,3553.453306,30.48356371,565.4548317,13.19539838,41.32975245,27.47692806,5.895329272,37.15620532,14.83800053,5.895329272,,0.09925775,84.61808852,,0.09925775,,5.796071522,,,,,,,,
1,48,431.8485074,532.506651,702.1930646,700.2436481,570.6492209,501.0025283,32.1489889,103.7133791,188.571494,123.2728681,26.89871628,178.1867466,310.7661768,314.7351003,49.37248411,141.2515708,94.03742052,38.69614705,15.30768791,55.74937873,134.980994,152.5710012,252.0614178,43.21199257,15.30768791,,0,75.2587095,,0,,15.30768791,,,,,,,,
1,49,448.4579876,454.9715559,711.0102203,1590.351911,955.5733009,447.8257101,403.1847178,295.9796784,234.9608744,289.6748033,60.2658615,316.6917008,923.5387377,889.6011841,173.8094622,683.2473442,209.2208363,347.7627903,329.2896268,303.2905235,479.2457616,709.7467624,1348.043273,235.7566542,60.2658615,,0,396.4437387,,0,,60.2658615,,,,,,,,
1,50,2705.895095,3229.192345,2370.7006,3599.3675,2399.09394,3194.048299,2788.596302,398.7546614,3024.510186,2417.649878,91.53206747,3237.747695,1326.454774,4491.176772,1204.916152,1533.985485,2809.856556,2526.135072,1605.183354,1213.523355,2890.108095,1158.225079,2848.720227,1230.284628,91.53206747,,21.44492304,2293.019503,,21.44492304,,70.08714443,,positive,106.9393058,,,,,
1,51,323.2332491,1284.20123,699.4575279,413.7595518,876.6304429,629.1655585,225.4758949,590.1879362,734.1044658,696.3388782,66.05749153,2460.158477,203.8517946,491.880846,249.3552854,139.2299806,443.4530039,590.8409543,128.0414402,162.473235,1231.288972,230.8401774,274.5430294,220.3174698,66.05749153,,282.9680323,411.8204521,,282.9680323,,-216.9105408,,,,,,,,
1,52,528.3084169,957.5352735,862.4873332,943.591331,714.4224474,697.3258683,436.788469,358.9935097,830.6397936,900.431119,503.4917477,528.0788293,573.636877,945.5072007,516.5174085,509.433378,778.6584189,733.5916212,512.2739501,508.9635383,648.184953,599.8054963,753.4752816,535.1603187,358.9935097,,387.8414967,419.7073234,,387.8414967,,-28.84798705,,negative,-111.2730681,,,,,
1,53,943.2301239,838.5646864,784.2175719,779.6023773,702.0316232,1049.824081,750.1477632,869.8335473,788.4503789,1019.20191,706.4502813,1020.25964,647.4764088,1009.902636,711.4621564,883.7168098,801.530328,908.5276734,827.6185112,805.6761136,900.8751671,723.7089654,808.9561999,619.3425277,619.3425277,,482.7455709,753.4489587,,482.7455709,,136.5969569,,,,,,,,
1,54,627.1805429,930.5475807,492.7220988,1386.652516,803.774927,1573.801936,1096.857633,659.3283856,1739.848959,1146.353232,278.5538099,1306.002705,731.6184798,1705.032473,748.1510543,911.973099,1653.419164,836.1408972,931.9941345,456.2217115,1028.258366,537.436756,1300.737637,444.7353708,278.5538099,,288.8913431,887.4229356,,288.8913431,,-10.33753327,,,,,,,,
1,55,2377.838907,3346.217447,2953.404454,3355.465353,3124.077507,3424.073364,2287.99359,2561.449715,2863.965549,1807.394515,1955.018158,2628.750273,2117.482153,3261.771461,1753.224914,2202.988637,2425.346271,1543.428737,2414.168842,1250.756198,2288.12995,1984.747843,2320.728047,1682.542124,1250.756198,,343.8670776,2369.943909,,343.8670776,,906.8891203,,,,,,,,
