Y, X, caps_nmmb01, caps_nmmb02, caps_nmmb03, caps_nmmb04, caps_nmmb05, caps_nmmb_rad, core01_arw, core03_arw, core04_arw, core05_arw, core06_arw, core07_arw, core08_arw, core09_arw, core10_arw, s_phys_rad02_arw, s_phys_rad03_arw, s_phys_rad04_arw, s_phys_rad05_arw, s_phys_rad06_arw, s_phys_rad07_arw, s_phys_rad08_arw, s_phys_rad09_arw, s_phys_rad10_arw,OLD BEST,, New Model Best MAE Value,WA,,NEW BEST,,DIFF,,,,,,,,
1,37,52.29873454,40.7925415,34.42848307,51.46765951,44.72128906,38.70380046,16.06052653,132.9339193,19.42145182,23.46115519,49.00960286,26.22855835,19.94384766,29.13415527,15.48162231,560.8102214,10.22940877,14.42234497,25.28486938,175.0450195,16.66420898,15.23983154,16.5471639,12.58553772,10.22940877,,11.00103124,34.97360711,,11.00103124,,-0.771622468,,,,,,,,
1,38,20.43314006,28.46833089,23.80900879,33.7174113,27.18144328,30.00154622,16.11389058,278.7250651,11.96410319,59.77256266,14.75137024,9.751150513,3.587484741,33.97592773,4.854329936,778.7433594,6.335603333,97.28994141,3.084395091,10.89361877,6.422595215,1.522463353,8.814324951,3.28061142,1.522463353,,0.09925775,27.59702485,,0.09925775,,1.423205603,,,,,,,,
1,48,138.4178385,223.3696452,297.3423177,248.4736003,243.935498,183.2012044,9.827250163,23.462677,46.35085856,33.72016602,7.570449829,46.21530762,117.1456462,70.0537679,20.08106486,27.49946289,23.96584676,12.23995463,4.73768514,12.72394613,40.87208252,56.56392415,49.42309977,17.45510254,4.73768514,,0,36.71545624,,0,,4.73768514,,,,,,,,
1,49,163.2459635,200.2310059,269.1988281,356.4017253,360.6913737,139.882666,78.52152507,70.55069173,62.887736,61.82497559,8.960345459,62.29130046,205.8887207,179.1063965,64.70411784,101.2000488,41.3883016,57.13769531,48.92350667,66.00903727,108.4005859,198.3525553,223.9467285,73.68048503,8.960345459,,0,123.4461459,,0,,8.960345459,,,,,,,,
1,50,692.9347656,971.7471354,616.201888,763.577474,740.0295573,803.8492188,590.9889974,93.25215658,724.6347005,542.8363932,14.74923096,772.2884115,358.8714844,951.2978516,345.260026,373.7651367,554.2733724,561.4829427,314.3198893,248.3371745,746.6477865,301.8795247,642.1385417,291.3417969,14.74923096,,3.883583302,576.2524497,,3.883583302,,10.86564766,,positive,26.19087635,,,,,
1,51,105.5011556,468.3523438,217.4980143,142.206722,277.9354492,251.7405762,97.59018555,127.3255371,270.4353678,265.5451986,12.99092509,805.5045573,92.3959554,156.1412109,97.95846354,59.46182861,157.9410156,219.4934733,38.58184408,47.95100911,466.8591797,91.0696696,82.76914063,81.8206543,12.99092509,,62.83945132,189.8043565,,62.83945132,,-49.84852623,,,,,,,,
1,52,184.5309245,406.6340495,285.5407878,351.1567383,262.8459473,295.4972656,180.4164388,119.7589437,294.4614909,371.3070313,100.2894694,231.0289551,203.3331706,364.7750651,174.5832845,184.9470215,296.5745768,274.3172852,141.8262695,141.3850586,256.2492676,187.4117676,294.0798828,173.8637858,100.2894694,,143.1712084,201.5985169,,143.1712084,,-42.88173896,,negative,-45.85076939,,,,,
1,53,309.2822266,282.5516927,253.0463379,251.4135254,220.112321,330.6083659,228.3150391,212.6011719,216.1689941,322.3306315,123.6414063,309.6874674,194.7038086,314.9074219,228.3983887,260.7044759,217.9513509,253.5647135,216.5394043,213.6094238,319.9794271,203.9538086,243.5526042,189.0310221,123.6414063,,119.233417,228.2030762,,119.233417,,4.407989222,,,,,,,,
1,54,243.1693522,353.4132813,193.4184733,413.3996745,314.6589844,413.2623047,305.6360677,159.5726888,396.0639974,359.697168,77.03186035,424.1745117,240.7166341,429.2663737,210.1056966,291.899056,383.1104818,265.0578125,229.0752116,153.6832357,324.7358398,186.6336426,328.6694987,151.948291,77.03186035,,107.8600609,256.1377441,,107.8600609,,-30.82820053,,,,,,,,
1,55,789.5398438,944.9404297,822.1414063,828.7677083,935.0228516,883.1258464,635.2555339,665.725651,639.0335938,578.2834635,440.2553385,739.8224609,652.341862,774.3906901,607.4813802,681.671875,550.6188802,487.102474,588.9177083,321.7278646,646.8130859,559.2709635,563.2748047,591.7248047,321.7278646,,131.6132293,651.2057943,,131.6132293,,190.1146352,,,,,,,,
