Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE,,,
4,38, NN, RF,62.00372838,11.91390177,55.08322538,11.31037598,4,1,1,50,61.95652174,,,
4,39, SVR, SVR,0.543005109,0.169561956,3.77826506,1.366196823,0,0,0,50.53763441,62.3655914,,,
4,40, RF, RF,0,0,5.753567062,1.358486557,0,0,0,51.06382979,62.76595745,,,
4,48, NN, RF,4.448893821,0.816281668,1.647938683,0.866430028,1,0,0,50.52631579,63.15789474,,,
4,49, NN, KNN,55.33931095,10.19214753,14.54415959,11.97663879,1,0,0,50,63.54166667,,,
4,50, NN, SVR,29.88837063,6.788137808,32.65941372,9.953521729,0,0,0,50.51546392,63.91752577,,,
4,51, KNN, KNN,512.3706143,95.18496491,345.0832025,95.94485677,3,0,0,50,64.28571429,,,
4,52, KNN, SVR,252.1305832,36.07837912,127.8710206,22.36789958,3,1,1,49.49494949,63.63636364,,,
4,53, NN, SVR,37.50332576,6.421016205,63.20091763,15.07262573,0,0,0,50,64,,,
4,54, KNN, SVR,125.4750131,35.16484423,134.1176644,35.27612305,0,0,0,50.4950495,64.35643564,,,
4,55, KNN, SVR,181.7042806,40.70254178,196.0627982,47.46901042,0,0,0,50.98039216,64.70588235,,,
4,56, KNN, SVR,185.0409243,33.29920532,182.2036978,35.30647786,1,0,0,50.48543689,65.04854369,,,
4,57, NN, SVR,42.60522571,9.335259231,33.78080963,13.631604,2,0,0,50,65.38461538,,,
4,58, NN, SVR,49.70362171,11.3182541,31.08034154,10.58055623,5,1,1,49.52380952,64.76190476,,,
4,59, KNN, RF,247.9279211,38.3523577,72.06538553,30.72814128,5,3,3,49.05660377,64.1509434,,,
4,60, KNN, KNN,37.02232044,6.230415971,40.54951481,8.077581787,0,0,0,49.53271028,64.48598131,,,
4,61, SVR, SVR,3.960850125,0.583625908,5.299213241,1.081113307,0,0,0,50,64.81481481,,,
4,62, RF, RF,0,0,3.764591431,0.72963829,0,0,0,50.4587156,65.13761468,,,
5,24, LR, LR,0.640785098,0.082725,73.87258174,22.24286296,0,0,0,50.90909091,65.45454545,,,
5,25, LR, KNN,68.46609597,18.15388028,105.4164855,39.21600342,0,0,0,51.35135135,65.76576577,,,
5,26, RF, KNN,365.7469537,99.8332915,400.6450216,139.4956706,0,0,0,51.78571429,66.07142857,,,
5,27, KNN, KNN,742.474254,320.6854614,944.9940035,440.7037435,0,0,0,52.21238938,66.37168142,,,
5,28, LR, KNN,1133.339372,419.931391,1160.998995,457.8861654,0,0,0,52.63157895,66.66666667,,,
5,29, KNN, KNN,917.1001253,430.6154142,795.7370587,436.0767253,2,0,0,52.17391304,66.95652174,,,
5,30, KNN, SVR,1146.760682,365.201985,865.5065184,294.8049479,4,2,2,51.72413793,66.37931034,,,
5,31, NN, SVR,575.6970691,152.6335303,675.2249995,210.0135579,0,0,0,52.13675214,66.66666667,,,
5,32, NN, SVR,49.84144674,18.21805894,269.713768,104.4398356,0,0,0,52.54237288,66.94915254,,,
5,33, KNN, KNN,172.5207376,38.37026467,227.3378451,111.2521647,0,0,0,52.94117647,67.22689076,,,
5,34, LR, KNN,304.7690683,73.75849859,391.2696853,131.0213949,0,0,0,53.33333333,67.5,,,
5,35, KNN, KNN,219.9877536,80.05604161,203.8799483,71.53581543,1,2,1,52.89256198,66.94214876,,,
5,36, KNN, KNN,465.1384334,91.29471748,309.483376,94.51197103,2,0,0,52.45901639,67.21311475,,,
5,37, LR, LR,316.084506,83.71112175,361.3399784,88.81512044,0,0,0,52.84552846,67.4796748,,,
5,38, LR, RF,181.1144082,39.69445615,113.0783578,31.49500326,6,3,3,52.41935484,66.93548387,,,
5,39, POLY, RF,21.62049763,4.699766523,25.4994115,7.949373372,0,0,0,52.8,67.2,,,
5,40, POLY, RF,61.06594906,9.897108443,15.57725769,10.3562144,3,0,0,52.38095238,67.46031746,,,
5,41, NN, RF,20.024304,3.625130081,20.73094554,4.724983215,0,0,0,52.75590551,67.71653543,,,
5,42, NN, RF,55.47232077,10.08503663,56.7505759,11.65099691,0,0,0,53.125,67.96875,,,
5,43, NN, RF,72.55465887,11.02865634,73.15046921,12.27659607,0,0,0,53.48837209,68.21705426,,,
5,44, POLY, SVR,16.95821275,3.134848473,17.31509269,3.674463145,0,0,0,53.84615385,68.46153846,,,
5,45, POLY, RF,3.137272057,0.439961658,6.926630233,2.235088348,0,0,0,54.19847328,68.70229008,,,
5,47, SVR, RF,0.336968168,0.045111666,2.34481855,0.482214991,0,0,0,54.54545455,68.93939394,,,
5,48, KNN, RF,13.60629782,2.144923325,14.26722506,2.98942159,0,0,0,54.88721805,69.17293233,,,
5,49, NN, SVR,68.60801252,10.25746874,15.26086831,11.98319702,2,0,0,54.47761194,69.40298507,,,
5,50, RF, SVR,15.55498718,3.611677429,16.29970413,4.776546733,0,0,0,54.81481481,69.62962963,,,
5,51, NN, SVR,324.1342812,55.32113772,322.2074254,56.62006836,4,0,0,54.41176471,69.85294118,,,
5,52, NN, SVR,28.41774755,5.121744859,41.41645708,13.97372843,0,0,0,54.74452555,70.0729927,,,
5,53, NN, SVR,28.27687711,5.960799253,44.05164937,19.30228882,0,0,0,55.07246377,70.28985507,,,
5,54, NN, SVR,22.67861907,5.511656986,25.89008618,9.581910197,0,0,0,55.39568345,70.50359712,,,
5,55, NN, SVR,87.36849331,19.66956796,70.94365796,23.66636963,1,0,0,55,70.71428571,,,
5,56, SVR, SVR,8.932183832,2.942869912,21.42717727,8.538206991,0,0,0,55.31914894,70.92198582,,,
5,57, SVR, SVR,3.871276879,1.153065236,6.623788399,2.29923172,0,0,0,55.63380282,71.12676056,,,
5,58, SVR, SVR,12.8563518,2.601559296,84.6354591,16.14913839,0,0,0,55.94405594,71.32867133,,,
5,59, KNN, SVR,71.48670775,18.01151799,172.6589364,45.81245524,0,0,0,56.25,71.52777778,,,
5,60, SVR, SVR,1.31783512,0.448542178,4.505374214,1.767108409,0,0,0,56.55172414,71.72413793,,,
5,61, RF, RF,0,0,9.155603824,3.220054881,0,0,0,56.84931507,71.91780822,,,
5,62, RF, RF,0,0,8.81700535,2.430911764,0,0,0,57.14285714,72.10884354,,,
6,24, KNN, RF,11.62993084,2.500065027,242.3130379,58.74267578,0,0,0,57.43243243,72.2972973,,,
6,25, KNN, KNN,214.9618641,61.51109481,238.1810323,88.62669271,0,0,0,57.71812081,72.48322148,,,
6,26, KNN, KNN,656.7348182,230.9108003,713.4944522,275.063444,0,0,0,58,72.66666667,,,
6,27, KNN, SVR,1041.157782,422.0769594,1119.803376,535.7935872,0,0,0,58.2781457,72.84768212,,,
6,28, KNN, SVR,1218.324205,449.5743392,1368.157593,568.0480469,0,0,0,58.55263158,73.02631579,,,
6,29, RF, SVR,877.9670108,355.5268186,1097.032482,439.389974,0,0,0,58.82352941,73.20261438,,,
6,30, KNN, KNN,1151.565389,392.9449142,1074.235666,361.9002604,1,2,1,58.44155844,72.72727273,,,
6,31, KNN, KNN,810.4352767,186.3981046,788.3185481,194.3544759,2,0,0,58.06451613,72.90322581,,,
6,32, KNN, KNN,500.9128589,140.4814696,473.7432673,150.2142904,1,0,0,57.69230769,73.07692308,,,
6,33, LR, LR,831.1845514,217.6869922,762.0706879,254.4105306,1,0,0,57.32484076,73.24840764,,,
6,34, KNN, KNN,1048.779005,227.7292316,688.0484479,199.5175618,8,1,1,56.96202532,72.78481013,,,
6,35, KNN, KNN,798.8698105,227.8319881,461.1918256,156.5190267,5,7,5,56.60377358,72.32704403,,,
6,36, KNN, KNN,740.7610347,227.7336637,485.9198322,157.450472,3,7,3,56.25,71.875,,,
6,37, KNN, KNN,325.8458075,118.9776845,227.3498039,69.34541016,3,5,2,55.90062112,71.42857143,,,
6,38, KNN, SVR,1359.298036,446.3460324,973.5587638,306.1285156,11,14,11,55.55555556,70.98765432,,,
6,39, RF, SVR,1043.037852,226.8411033,624.6795178,159.901123,2,5,2,55.21472393,70.55214724,,,
6,40, LR, RF,335.6705366,53.43084002,336.6223774,55.94106445,0,0,0,55.48780488,70.73170732,,,
6,41, NN, SVR,33.21236875,7.915610978,31.72072716,14.99637146,1,0,0,55.15151515,70.90909091,,,
6,42, KNN, KNN,179.57397,54.40165197,104.2661209,37.2265625,4,2,2,54.81927711,70.48192771,,,
6,43, LR, LR,120.8057718,54.97646743,175.9820007,51.72474365,0,1,0,55.08982036,70.05988024,,,
6,44, POLY, SVR,155.1540333,34.11110026,16.76188885,34.43422038,4,0,0,54.76190476,70.23809524,,,
6,45, KNN, SVR,95.49271651,29.93880776,72.68680245,28.8799174,3,1,1,54.43786982,69.82248521,,,
6,46, NN, RF,21.04589866,5.069996568,20.1664819,5.386978149,1,0,0,54.11764706,70,,,
6,47, NN, SVR,21.86279072,4.208663378,23.10782231,6.051916504,0,0,0,54.38596491,70.1754386,,,
6,48, KNN, SVR,40.9484245,12.65168121,42.76980231,13.70526632,0,0,0,54.65116279,70.34883721,,,
