Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
27, 26, LR, LR, 257.2391302498142, 103.35824377559932, 459.41065926483884, 197.63771214978448, 0, 0, 0, 100.0, 90.625
27, 27, LR, LR, 219.06378478080458, 92.61705069099591, 457.63229370239617, 142.6265111770073, 0, 0, 0, 100.0, 90.9090909090909
27, 28, LR, LR, 419.8937730545891, 179.4479513474779, 625.1385208197987, 198.53517212906502, 0, 0, 0, 100.0, 91.17647058823529
27, 29, LR, LR, 649.069465704524, 301.90162750001855, 1057.9428428906401, 387.48694490131584, 0, 0, 0, 100.0, 91.42857142857143
28, 23, LR, LR, 220.9183210007735, 69.73804355898424, 647.0963547321933, 236.9076746323529, 0, 0, 0, 100.0, 91.66666666666666
28, 24, LR, LR, 402.8574158772758, 145.38652268093122, 727.4906244726816, 242.7949587264151, 0, 0, 0, 100.0, 91.8918918918919
28, 25, LR, LR, 486.78956470616475, 191.94609050084063, 1108.1090109943666, 338.7418619791667, 0, 0, 0, 100.0, 92.10526315789474
28, 26, LR, LR, 350.2439649580342, 133.1459554558223, 716.5042158020676, 249.02293526785718, 0, 0, 0, 100.0, 92.3076923076923
28, 27, LR, LR, 480.56999782664957, 160.24002233351928, 557.3065302214312, 191.62165178571428, 0, 0, 0, 100.0, 92.5
28, 28, LR, LR, 310.86246696150556, 171.20613892594045, 472.5514368458912, 199.7459259033203, 0, 0, 0, 100.0, 92.6829268292683
28, 29, LR, LR, 381.9981927959069, 167.52602786758237, 912.0920413488388, 345.87783203125, 0, 0, 0, 100.0, 92.85714285714286
29, 23, LR, LR, 123.93369944744924, 48.5862411575513, 834.4448780749118, 246.24201516544116, 0, 0, 0, 100.0, 93.02325581395348
29, 24, LR, LR, 239.8254209179298, 79.30916159467743, 1113.5396904474644, 345.7474908759125, 0, 0, 0, 100.0, 93.18181818181817
29, 25, LR, LR, 399.0098262461861, 89.3424114282078, 860.0256304938725, 272.7715745192308, 0, 0, 0, 100.0, 93.33333333333333
29, 26, LR, LR, 288.874790954035, 123.9731390497634, 634.1708347275579, 220.45053013392857, 0, 0, 0, 100.0, 93.47826086956522
29, 27, LR, LR, 309.61947135581977, 149.4553227049689, 524.5314136288647, 194.78992456896552, 0, 0, 0, 100.0, 93.61702127659575
29, 28, LR, LR, 617.0025544986901, 282.7994722595757, 751.5453708489224, 295.2066650390625, 0, 0, 0, 100.0, 93.75
29, 29, LR, LR, 808.5397190448427, 283.082156324153, 917.8538686184913, 335.3997004229323, 0, 0, 0, 100.0, 93.87755102040816
