Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE,difference_of_RMSE,difference_of_MAE,,,,,,,,,,,
2,37, LR, LR,252.6485414,116.1044069,210.7313573,50.15223457,12,22,12,91.17647059,86.2745098,-41.91718403,-65.95217233,,,,,,,,,,,
2,38, LR, LR,571.2662067,378.1521856,175.1901844,38.2751658,20,23,20,90.29126214,85.4368932,-396.0760223,-339.8770198,,,,,,,,,,,
2,39, LR, LR,9.759324908,9.759324908,34.33245324,7.349400297,0,4,0,90.38461538,84.61538462,24.57312833,-2.409924611,,,,,,,,,,,
2,40, LR, LR,0,0,6.75874946,0.986711325,0,0,0,90.47619048,84.76190476,6.75874946,0.986711325,,,,,,,,,,,
2,41, LR, LR,0,0,11.42984325,2.318264643,0,0,0,90.56603774,84.90566038,11.42984325,2.318264643,,,,,,,,,,,
2,42, LR, LR,0,0,38.34216033,7.203095772,0,0,0,90.65420561,85.04672897,38.34216033,7.203095772,,,,,,,,,,,
2,43, LR, LR,0,0,57.31209106,8.406185266,0,0,0,90.74074074,85.18518519,57.31209106,8.406185266,,,,,,,,,,,
2,44, LR, LR,0,0,53.80181466,8.005244664,0,0,0,90.82568807,85.32110092,53.80181466,8.005244664,,,,,,,,,,,
2,45, LR, LR,0,0,17.73582775,2.403342837,0,0,0,90.90909091,85.45454545,17.73582775,2.403342837,,,,,,,,,,,
2,46, LR, LR,0,0,34.42088982,4.086144736,0,0,0,90.99099099,85.58558559,34.42088982,4.086144736,,,,,,,,,,,
2,47, LR, LR,0,0,75.04966493,4.013808401,0,0,0,91.07142857,85.71428571,75.04966493,4.013808401,,,,,,,,,,,
2,48, LR, LR,5.626635596,1.33810897,155.9987146,15.70402273,0,0,0,91.15044248,85.84070796,150.372079,14.36591376,,,,,,,,,,,
2,49, LR, LR,27.73727427,9.326536194,460.4760684,64.17167969,0,0,0,91.22807018,85.96491228,432.7387941,54.84514349,,,,,,,,,,,
2,50, LR, LR,89.13114206,39.19664227,587.3756133,137.6165321,0,0,0,91.30434783,86.08695652,498.2444712,98.41988982,,,,,,,,,,,
2,51, LR, LR,289.5814058,114.0653359,708.5245311,168.09494,0,0,0,91.37931034,86.20689655,418.9431254,54.02960404,,,,,,,,,,,
2,52, LR, LR,708.284378,216.8529976,587.5317864,193.2982639,1,2,1,90.5982906,85.47008547,-120.7525916,-23.55473366,,,,,,,,,,,
2,53, LR, LR,884.7603822,285.1828635,753.6708209,210.2312412,1,2,1,89.83050847,84.74576271,-131.0895613,-74.95162232,,,,,,,,,,,
2,54, LR, LR,663.2121368,215.7723248,933.4630632,282.3784442,0,0,0,89.91596639,84.87394958,270.2509264,66.60611947,,,,,,,,,,,
2,55, LR, LR,719.4390806,244.5699085,822.0559858,248.3888747,0,0,0,90,85,102.6169052,3.818966148,,,,,,,,,,,
2,56, LR, LR,373.6783688,239.5773808,1184.062153,316.154603,0,0,0,90.08264463,85.12396694,810.3837844,76.57722225,,,,,,,,,,,
2,57, LR, LR,1733.564373,467.6518891,1079.014254,283.4645744,22,19,19,89.3442623,84.42622951,-654.5501181,-184.1873147,,,,,,,,,,,
2,58, LR, LR,396.9318448,123.3514789,519.9230712,175.3289915,0,0,0,89.43089431,84.55284553,122.9912264,51.97751265,,,,,,,,,,,
2,59, LR, LR,314.0088454,89.36154217,275.3742752,84.67593149,1,1,1,88.70967742,83.87096774,-38.6345702,-4.685610683,,,,,,,,,,,
2,60, LR, LR,60.48478391,16.78415957,137.7777485,36.56962316,0,0,0,88.8,84,77.2929646,19.78546359,,,,,,,,,,,
2,61, LR, LR,0,0,226.1990368,53.90697001,0,0,0,88.88888889,84.12698413,226.1990368,53.90697001,,,,,,,,,,,
