Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
2, 15, LR, LR, 0.0, 0.0, 29.005307764633816, 7.748695910816461, 100.0, 100.0
2, 16, LR, LR, 0.0, 0.0, 16.831712851439033, 1.55866387549867, 100.0, 100.0
2, 17, LR, LR, 0.0, 0.0, 39.110966444476034, 1.7939580873001453, 100.0, 100.0
2, 18, LR, LR, 0.0, 0.0, 79.58702278907391, 19.47452043805804, 100.0, 100.0
2, 19, LR, LR, 0.0, 0.0, 74.3691699395657, 23.905282156808035, 100.0, 100.0
2, 20, LR, LR, 0.0, 0.0, 100.87609435859163, 39.37883990743886, 100.0, 100.0
2, 21, LR, LR, 0.0, 0.0, 660.2437933571711, 295.74505208333335, 100.0, 100.0
2, 22, LR, LR, 0.0, 0.0, 521.1675552925905, 210.41950094288796, 100.0, 100.0
2, 23, LR, LR, 0.0, 0.0, 310.891361405381, 121.18516995614037, 100.0, 100.0
2, 24, LR, LR, 0.0, 0.0, 565.9238489557597, 205.42330545774647, 100.0, 100.0
2, 25, LR, LR, 0.0, 0.0, 629.2572407211537, 200.1848876953125, 100.0, 100.0
2, 26, LR, LR, 0.0, 0.0, 1316.3900231577672, 370.9482518564357, 100.0, 100.0
2, 27, LR, SVR, 11.3963925827365, 1.604154176693265, 716.7482577869656, 264.6462779471545, 100.0, 100.0
2, 28, KNN, SVR, 161.03905106550854, 43.63744406781067, 1247.1545024339114, 494.1487247242647, 100.0, 100.0
2, 29, LR, SVR, 383.9945766558469, 196.85289966818542, 1400.999535372231, 607.3510711477987, 100.0, 100.0
2, 30, KNN, KNN, 595.948184928564, 264.26039737434616, 2199.8892139058094, 919.0772405660376, 100.0, 100.0
2, 31, RF, SVR, 571.4960750460602, 280.39781353622493, 1479.5135086312064, 530.7908528645834, 100.0, 100.0
