Y, X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,OLD BEST,MODEL, New Model Best MAE Value,PolyR,WA,NEW BEST,,DIFF,,,,,,
1,16,12.33525594,19.71166382,15.43003743,14.40820923,14.59330851,13.38139242,0.526863321,1.66E+36,1.057515081,0.006325,1.66E+36,2.06514829,1.263750076,0.824271647,0.816203308,0.375173283,0.595998319,0.022275003,1.791690063,0.259445,1.078628286,1.088255056,0.212474982,0.821718343,0.006325,10,0,0,1.515891627,0,,0.006325,,,,,,
1,17,24.83824463,63.67215576,39.79350179,43.11736654,40.73655192,38.48299561,3.490198517,1.66E+36,5.270854696,2.562969971,1.66E+36,7.942108663,7.045708211,10.47255656,5.216758219,1.065895081,4.274458313,1.039675013,5.155851746,2.104959997,5.674715169,3.642556763,3.213983154,5.30631307,1.039675013,18,0,0,6.0429288,0,,1.039675013,,negative,-35.85782956,,,
1,18,31.95151164,30.35586141,28.50543009,29.96543376,49.17556966,41.0481486,3.911639913,1.66E+36,7.407448324,4.523696391,1.66E+36,8.203665161,4.909933472,27.05178833,12.92768758,4.063740031,6.71917216,2.341976674,8.988432821,3.058859762,5.710048421,2.602625275,9.724947103,10.15516968,2.341976674,18,0,0,8.312747824,0,,2.341976674,,,,,,
1,19,25.59399007,23.15788981,21.7793396,28.54072266,36.41072998,25.03169556,5.245588684,1.66E+36,5.092928569,13.67686462,1.66E+36,6.826324972,6.99058787,23.45389811,12.96717326,13.89422201,5.133500163,8.497328695,10.62840373,5.665078735,6.044001261,4.552780151,8.79139506,11.36608887,4.552780151,22,0,0,9.445325579,0,,4.552780151,,,,,,
1,20,30.06905111,14.07683105,30.11405233,29.44098307,21.6945109,25.47672323,7.62615509,1.66E+36,10.05115458,52.84344076,1.66E+36,7.223086548,14.33424683,19.64778646,9.826641846,25.38654582,8.913730876,24.806663,14.48651733,11.19396057,6.298586528,7.493838501,11.82227987,7.76345164,6.298586528,21,0,0,13.50744629,0,,6.298586528,,,,,,
1,21,143.8416341,249.9839193,274.1621094,234.247347,208.1402995,246.5951009,66.62038574,1.66E+36,87.98304036,189.0931803,1.66E+36,88.70270182,65.92408854,179.6731771,69.4810791,81.46947428,125.0993652,139.9249674,89.31794434,72.83920898,105.1652669,92.0200765,137.3865723,86.04527995,65.92408854,13,0,0,145.0798828,0,,65.92408854,,,,,,
1,22,171.7390299,258.9684245,206.9700684,250.9567383,90.74332682,192.9817383,106.0000407,1.66E+36,137.8825358,121.5276774,1.66E+36,214.8467122,101.6018717,259.9578288,127.3467448,82.69775391,137.1627116,118.4467122,83.95085449,86.32491048,240.9316895,105.9741211,185.4298503,161.0378906,82.69775391,16,0,0,182.3381476,0,,82.69775391,,,,,,
1,23,147.2904785,130.6361328,137.1202474,133.0566162,115.9669352,117.1724935,68.45603841,1.66E+36,122.0048747,84.1405599,1.66E+36,75.63006999,99.54414876,155.9708171,72.55557454,65.10488688,97.63089193,58.50872396,72.97430827,87.01494141,86.9376709,82.29746908,106.7393555,89.73111165,58.50872396,18,0,0,109.8522461,0,,58.50872396,,,,,,
1,24,138.1699219,95.46905924,187.7123698,136.2605632,89.90617676,89.83384603,74.09339193,1.66E+36,99.05536296,129.2111572,1.66E+36,124.588208,111.0530355,229.4548177,92.34431152,40.88104248,91.6246582,81.21221517,51.92499186,74.17071126,137.2043457,109.3562012,69.72428385,96.25383301,40.88104248,16,0,0,115.6916089,0,,40.88104248,,,,,,
1,25,143.6608398,141.7442057,260.1781738,176.1941406,250.8247396,164.9527995,72.20320638,1.66E+36,88.56634928,239.9381836,1.66E+36,135.5508626,87.07839355,225.4737142,74.16643066,62.09195964,112.1037598,90.74513346,123.3821126,96.0141276,142.5322591,108.1264242,69.91105957,93.52684733,62.09195964,16,0,0,146.1900541,0,,62.09195964,,,,,,
1,26,276.4007487,335.9803385,171.7365397,224.170752,297.0348633,287.9499023,199.1376953,1.66E+36,117.7851318,237.0552246,1.66E+36,236.9628092,176.3989583,407.5064453,109.1235026,159.107373,189.3857747,126.6570394,256.9957357,248.0569499,168.0236816,72.34538574,144.1004232,116.7088216,72.34538574,22,0,0,223.7455116,0,,72.34538574,,,,,,
1,27,458.886263,515.3031901,382.0157552,363.146875,463.556543,513.1805339,361.7032878,1.66E+36,359.4545247,366.2023763,1.66E+36,292.0694661,351.9339193,464.4800781,300.2546875,369.4623047,281.3174479,307.2194987,213.8043945,294.0647786,274.4242188,249.8799316,323.7516276,336.9597005,213.8043945,19,0.544323349,1.268552718,381.8745739,0.544323349,,213.2600712,,,,,,
1,28,1220.370443,901.7096354,821.8707682,675.311849,827.0086589,909.3197266,773.5113932,1.66E+36,688.2938802,954.2744792,1.66E+36,754.2138672,875.9239583,962.6432292,602.7291667,674.4211589,687.0549479,711.5592448,653.150651,674.9828776,702.4613932,651.8824219,719.9511719,617.5670573,602.7291667,15,6.579096863,8.859786476,787.5442023,6.579096863,,596.1500698,,,,,,
1,29,761.9921875,811.8201823,629.1267578,612.7281901,643.3179036,875.298112,714.0049479,1.66E+36,598.2026693,770.021875,1.66E+36,630.953125,582.3707682,781.278125,532.7322266,687.9202474,605.908724,604.3614583,506.3475586,706.0528646,598.5723307,537.3546224,679.8085286,536.703418,506.3475586,19,203.3140376,221.2924032,589.9715495,203.3140376,,303.033521,,,,,,
1,30,1337.809766,1306.17487,1101.782813,1165.685156,1117.216276,1432.516927,1263.088542,1.66E+36,1102.932422,1601.937891,1.66E+36,1211.573828,975.2841797,1280.166927,995.1266927,1162.864844,1083.754427,1532.927083,1254.006901,1089.75625,1204.291146,843.808138,1307.592578,1211.019141,843.808138,22,512.5170965,608.3097008,993.2307292,512.5170965,,331.2910415,,,,,,
1,31,534.6589518,519.8979167,345.4864583,386.1075521,406.8672526,434.2592773,427.6986979,1.66E+36,671.0086589,1122.228125,1.66E+36,488.5828125,993.6279948,884.8544922,589.9164063,655.5277995,731.9597005,753.9246745,503.9118815,448.7295573,409.8255208,812.8865885,522.867513,547.0639974,345.4864583,3,422.3824173,603.4739175,451.3822591,422.3824173,,-76.89595898,,,,,,
1,32,381.1969076,435.8226563,352.6648112,393.081901,365.5473633,354.2250977,455.1421549,1.66E+36,344.6158203,355.0688802,1.66E+36,321.9957031,596.3165365,315.2614909,559.3296224,360.581901,323.7111654,321.249349,343.3642253,324.8010091,292.6049154,527.7683594,345.3288086,542.6528971,292.6049154,21,321.0736339,1046.149795,361.6460286,321.0736339,,-28.46871854,,,,,,
1,33,300.0632487,319.0573893,308.1997396,298.4284505,308.4119792,301.3137695,274.1004557,1.66E+36,256.7206868,258.4150065,1.66E+36,265.4301107,379.6542318,247.0947917,434.1985352,322.8988932,285.943457,249.7126139,253.89375,355.802474,254.964974,359.4813151,235.2852214,335.5774089,235.2852214,23,264.4172739,552.2817776,277.901237,264.4172739,,-29.13205257,,,,,,
