Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
23, 29, LR, LR, 2198.801435572208, 567.7421813512102, 1236.5891969871252, 461.91793258101853, 24, 5, 5, 40.80932784636489, 42.11248285322359
23, 30, LR, LR, 1078.1208293605177, 282.6228370793407, 1233.3655360251255, 473.5547940340909, 0, 0, 0, 40.849897189856065, 42.15215901302262
23, 31, LR, LR, 4950.249192463516, 981.479682234651, 991.7506284802188, 441.23998579545463, 24, 22, 22, 40.821917808219176, 42.12328767123288
23, 32, LR, LR, 9610.365255836552, 2867.8172331863248, 1258.1676039487618, 591.3138507593458, 24, 24, 24, 40.79397672826831, 42.09445585215606
23, 33, LR, LR, 24896.939479016542, 4598.719700725739, 1354.9359110588675, 499.6223257211538, 24, 24, 24, 40.766073871409034, 42.0656634746922
23, 34, LR, LR, 25310.231361474296, 4597.930055095163, 1735.7155790706527, 640.2390625, 24, 24, 24, 40.73820915926179, 42.03691045796309
23, 35, LR, LR, 39127.662782624226, 5954.941931784951, 1491.7668955263202, 596.6785714285714, 24, 24, 24, 40.7103825136612, 42.00819672131148
23, 36, LR, LR, 898.226648324064, 400.7310279779767, 1731.9255960549433, 687.0041173986486, 0, 0, 0, 40.750853242320815, 42.04778156996587
23, 37, LR, LR, 17122.160000947923, 2839.1002244859524, 1457.4561994881951, 638.2981861888113, 24, 24, 24, 40.72305593451569, 42.01909959072306
23, 38, LR, LR, 2274.8075099413245, 689.4860219347742, 1167.6951657003638, 527.2661830357143, 18, 11, 10, 40.695296523517385, 41.99045671438309
23, 39, LR, LR, 8306.959228384598, 1590.1528276547717, 1257.2551097366454, 510.0135216346154, 24, 24, 24, 40.667574931880104, 41.96185286103542
23, 40, LR, LR, 17925.311167894204, 3506.277996173901, 1266.3342370796108, 432.78401692708326, 24, 24, 24, 40.639891082368955, 41.933287950987065
23, 41, LR, LR, 5265.346091922711, 1005.6876428458745, 1166.5781057525433, 430.1183774834437, 24, 22, 22, 40.61224489795918, 41.904761904761905
