Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE,difference_of_RMSE,difference_of_MAE,,,,,,,,,,,
2,43, LR, LR,0,0,140.0672213,45.78875248,0,0,0,89.54248366,88.23529412,140.0672213,45.78875248,,,,,,,,,,,
2,44, LR, LR,0,0,168.4510209,49.72882603,0,0,0,89.61038961,88.31168831,168.4510209,49.72882603,,,,,,,,,,,
2,45, LR, LR,0,0,255.802528,86.76265462,0,0,0,89.67741935,88.38709677,255.802528,86.76265462,,,,,,,,,,,
2,46, LR, LR,0,0,400.3157984,144.6725361,0,0,0,89.74358974,88.46153846,400.3157984,144.6725361,,,,,,,,,,,
2,47, LR, LR,1.351774319,0.688819782,529.200607,193.9757004,0,0,0,89.8089172,88.53503185,527.8488327,193.2868806,,,,,,,,,,,
2,48, LR, LR,166.1771545,41.56664499,740.4565227,192.6362399,0,0,0,89.87341772,88.60759494,574.2793683,151.0695949,,,,,,,,,,,
2,49, LR, LR,184.0990778,84.44694433,545.9409644,188.2411802,0,0,0,89.93710692,88.67924528,361.8418865,103.7942359,,,,,,,,,,,
2,50, LR, LR,420.2938762,196.0455129,632.9565443,294.3319547,0,0,0,90,88.75,212.6626681,98.28644178,,,,,,,,,,,
2,51, LR, LR,433.0736875,231.8375912,564.4871013,273.5467529,0,0,0,90.0621118,88.81987578,131.4134138,41.70916172,,,,,,,,,,,
2,52, LR, LR,384.0008717,154.0904758,550.6310534,208.9536689,0,0,0,90.12345679,88.88888889,166.6301817,54.86319311,,,,,,,,,,,
2,53, LR, LR,384.4535952,144.5164031,330.8801431,120.2413969,4,6,3,89.57055215,88.34355828,-53.57345202,-24.27500613,,,,,,,,,,,
2,54, LR, LR,485.2839227,125.7091196,504.1151096,112.3475922,0,3,0,89.63414634,87.80487805,18.83118691,-13.36152736,,,,,,,,,,,
2,55, LR, LR,331.3235059,87.33442348,266.9344068,87.54295778,3,0,0,89.09090909,87.87878788,-64.38909911,0.208534295,,,,,,,,,,,
2,56, LR, LR,666.5513766,194.6210482,320.2836888,94.09889573,22,23,21,88.55421687,87.34939759,-346.2676878,-100.5221525,,,,,,,,,,,
2,57, LR, LR,1844.08443,322.2140248,344.8426632,87.89870587,24,24,24,88.0239521,86.82634731,-1499.241767,-234.315319,,,,,,,,,,,
2,58, LR, LR,1333.828543,230.0581716,368.0403365,81.79219862,24,24,24,87.5,86.30952381,-965.788206,-148.265973,,,,,,,,,,,
2,59, LR, LR,513.2351499,113.4607389,458.841954,76.91216645,6,9,6,86.98224852,85.79881657,-54.3931959,-36.54857242,,,,,,,,,,,
2,60, LR, LR,198.8913434,48.80190474,185.9497726,44.98502265,3,3,1,86.47058824,85.29411765,-12.94157081,-3.816882085,,,,,,,,,,,
2,61, LR, LR,112.1378896,35.45417503,104.832738,29.61870152,3,6,2,85.96491228,84.79532164,-7.305151603,-5.835473506,,,,,,,,,,,
2,62, LR, LR,144.7110941,38.82975146,90.82965344,26.30466309,17,14,14,85.46511628,84.30232558,-53.88144062,-12.52508837,,,,,,,,,,,
2,63, LR, LR,31.53998437,13.13322148,57.99083645,15.81896367,0,0,0,85.54913295,84.39306358,26.45085208,2.685742183,,,,,,,,,,,
2,64, LR, LR,4.356784322,1.104921359,14.34903112,5.12420026,0,0,0,85.63218391,84.48275862,9.992246795,4.019278901,,,,,,,,,,,
2,65, LR, LR,0,0,4.202425529,1.445509093,0,0,0,85.71428571,84.57142857,4.202425529,1.445509093,,,,,,,,,,,
2,66, LR, LR,0,0,2.995440867,0.784212802,0,0,0,85.79545455,84.65909091,2.995440867,0.784212802,,,,,,,,,,,
