Y, X, caps_nmmb01, caps_nmmb02, caps_nmmb03, caps_nmmb04, caps_nmmb05, caps_nmmb_rad, core01_arw, core03_arw, core04_arw, core05_arw, core06_arw, core07_arw, core08_arw, core09_arw, core10_arw, s_phys_rad02_arw, s_phys_rad03_arw, s_phys_rad04_arw, s_phys_rad05_arw, s_phys_rad06_arw, s_phys_rad07_arw, s_phys_rad08_arw, s_phys_rad09_arw, s_phys_rad10_arw, s3m01, s3m02, s3m03, s3m04, s3m05, s3m06, s3m07, s3m08, s3m09, s3m10, s3m11, s3m12, s3m13, s3m14, s3m15, 
0,16,53.01930216,31.44833861,30.70136936,31.71938694,31.28653688,30.68493432,1.20363935,17.8278622,2.920795992,2.079851012,5.26516133,0.979596501,3.996032746,11.42465125,3.03386513,3.777235573,1.260801735,0.94014309,0.850326501,1.625230687,1.083399159,1.325738032,1.430470987,1.111788524, ,,,,,,,,,,,,,,,
0,17,68.27773471,51.2229276,68.95077806,51.53232916,67.99879766,59.20597533,5.662158701,22.151527,7.610722208,5.266789791,16.9320121,14.1239485,6.969504138,47.49011655,6.478283866,3.02924393,8.318466807,2.464060518,7.331620015,10.89307579,19.24212288,2.670138324,15.2313093,1.546197747, ,,,,,,,,,,,,,,,
0,18,74.51810731,67.48189357,55.29463829,68.44010934,63.61225873,61.52205085,4.972925251,113.9298844,11.35332698,24.58350062,19.51965577,8.928006222,11.28311941,23.37474159,19.37284094,25.40348033,5.394543317,11.44638487,12.62835467,8.916133839,4.89322683,5.799609371,7.724812762,12.96180891, ,,,,,,,,,,,,,,,
0,19,64.12925391,53.99896398,56.83267304,57.00084133,69.21079064,56.06964995,4.309587645,102.4971351,13.96959401,135.5167928,77.62089083,7.825569032,5.316812045,27.53720745,36.25473315,23.16508217,15.89387478,61.945809,36.83481467,11.04511296,5.424196668,3.466639103,9.82466609,28.45909868, ,,,,,,,,,,,,,,,
0,20,63.75131419,52.10815269,71.53892532,52.88742909,55.86909225,88.85158031,21.68489072,104.0971971,11.09762696,86.03656094,30.41730952,9.961991186,26.60821497,29.20671005,64.3943694,29.51228003,4.982860435,60.69488186,17.96759276,11.8894038,7.353521049,23.96153613,8.281483923,41.37356428, ,,,,,,,,,,,,,,,
0,21,46.11185962,130.4676837,61.88760139,117.6419586,57.30867044,44.99578721,6.707518134,54.58410309,92.38767543,19.54936535,20.58333429,33.23249273,52.93996238,40.05680201,12.75357731,9.669148444,51.60083905,15.26229666,8.674616371,9.699465667,57.76181439,13.27099457,28.55106193,12.73709271, ,,,,,,,,,,,,,,,
0,22,209.0890066,484.7588075,385.6388702,410.2970563,274.3020259,292.1966898,368.5651122,406.8918429,373.3393844,285.7995067,224.3975871,215.832137,278.3310203,226.2826658,104.0359808,317.3811669,329.6893575,113.1299223,182.8204948,114.4601368,360.7776856,255.3406273,235.0054837,174.5087693, ,,,,,,,,,,,,,,,
0,23,382.5325603,506.7925144,622.9314533,422.6785879,463.7176319,330.0102154,517.9482145,485.8876467,375.5956813,466.7163431,394.1338859,534.1480385,418.4805232,457.545688,421.4758249,506.5213231,484.2983585,473.5326042,411.8319634,208.2723959,540.6229211,419.1058647,354.0563001,482.7803786, ,,,,,,,,,,,,,,,
0,24,976.9502583,806.8291847,929.9200545,711.4843842,634.9751686,654.6937452,506.1077269,701.8260954,291.6235892,524.1726126,447.7998289,723.6379985,388.0241892,1041.210328,398.1510986,611.2667002,531.1302734,537.3099664,349.5715771,231.5944628,702.5236806,445.9663959,527.2364428,447.9914899, ,,,,,,,,,,,,,,,
0,25,736.5663877,1058.559299,828.4803329,895.0133279,933.0037042,843.3623791,873.4426638,1395.085964,341.6254123,414.973386,483.3260831,618.9925897,236.5395831,1329.674255,176.1138697,1201.850758,418.1554256,327.8397613,963.2175248,258.1288034,743.0416967,256.8474134,584.2932382,186.1511214, ,,,,,,,,,,,,,,,
0,26,1153.759256,815.3036244,840.470319,1215.013026,1145.530243,979.6575026,709.4831047,822.3250652,415.5781856,272.9740735,523.5277603,563.9864845,200.5840638,624.1960715,342.0029624,812.1882699,521.8128922,267.7504067,460.677352,387.4070308,561.2543045,227.9095296,583.7691276,272.4931053, ,,,,,,,,,,,,,,,
0,27,1595.417698,1363.524718,1569.132685,1893.924944,1221.848984,1747.306352,952.0133928,584.7845822,424.4795285,525.2815561,609.4549686,575.1538181,602.1377987,1285.565525,377.5191446,509.8210241,514.1492875,511.4879091,701.7156925,1005.672209,513.2322995,444.1126673,822.905456,497.8291016, ,,,,,,,,,,,,,,,
0,28,2949.979786,2225.662494,2347.896854,2851.815218,2590.914039,3390.033572,1850.63311,1313.531311,810.8851183,1527.927294,1792.527044,1230.976001,1083.490267,1778.432845,624.3573637,1227.112383,1165.998801,1581.215669,1661.397335,2750.936247,1251.442933,1104.070558,1584.932423,568.3525332, ,,,,,,,,,,,,,,,
0,29,3054.797521,2348.712705,1875.445511,2220.933137,2025.585699,1760.876751,1463.404761,1549.834492,1190.545224,1701.475645,1791.235609,1241.235059,1342.590048,1537.240961,630.079609,1526.408951,1444.634625,1760.717462,1762.737087,2314.548803,1205.798058,1220.914805,1176.9812,635.5902081, ,,,,,,,,,,,,,,,
0,30,2838.0691,3029.344003,2849.637341,2522.773379,3775.632697,3060.577153,1334.655646,1766.154502,1391.46767,1863.770679,2063.876781,1091.960849,1542.715348,1777.594366,1786.557535,1682.414297,1722.55624,1964.14973,1672.519528,2027.94751,1124.196701,1548.249973,1889.065028,1503.758261, ,,,,,,,,,,,,,,,
0,31,3305.897402,1990.860426,1752.48176,1490.961605,2924.010189,2237.390518,1759.384741,1924.215914,1528.932471,2071.041762,2015.280559,1008.587068,1581.341115,1256.922302,2367.244995,2107.12218,1856.503773,2557.385739,1738.503588,2894.522933,1393.605997,2169.324088,1446.858439,1907.435246, ,,,,,,,,,,,,,,,
0,32,2490.6891,1064.714307,2716.263316,924.8569175,1636.420027,1516.768279,1132.554363,1639.200359,1507.156607,1278.953397,1568.125454,873.4917326,1283.294361,912.5313342,1919.692541,1767.104898,1681.332972,1274.411741,1307.231894,1723.86129,1167.811595,2125.306064,922.8314531,1276.581483, ,,,,,,,,,,,,,,,
0,33,2206.421857,978.2912461,1397.723698,869.5358941,1456.570825,850.7896491,1014.160557,1925.095005,670.6736729,766.0104859,2713.0458,677.8911771,884.1603987,882.2364096,1590.244435,1876.349836,791.9075267,920.5829121,1496.234308,814.7303175,804.1515493,1096.138677,1097.1401,1115.754575, ,,,,,,,,,,,,,,,
0,34,3103.488507,1215.650147,1400.18268,1172.523087,1713.421507,1229.420053,1276.427484,1085.405798,966.5684433,1164.580833,1065.961053,1155.376791,1379.420286,1397.609864,1576.778812,1620.232888,1111.194697,1414.566129,888.6632702,956.6704165,1404.503487,1275.91354,1543.498623,1501.541097, ,,,,,,,,,,,,,,,
0,35,3157.738859,1465.723799,1399.162059,1297.789736,1375.37688,1330.952148,1953.268179,1542.193413,1285.968746,1353.749873,2279.038811,1517.575498,1608.530242,1686.614789,1704.850172,1677.462815,1840.056643,1789.776197,2577.674475,1111.782967,2044.008387,1915.181396,1827.767983,1854.022211, ,,,,,,,,,,,,,,,
0,36,2567.399503,1246.237548,602.6328382,720.3444311,850.7122376,586.5837876,896.6734658,2290.080102,657.9930491,579.0423563,873.1902192,1450.855666,748.6737874,812.0669195,772.7953737,1899.31005,912.8845575,804.22821,1671.537131,826.8239958,1313.593794,950.8382719,855.0666109,811.6685252, ,,,,,,,,,,,,,,,
0,37,994.4024498,499.0577108,155.6903923,231.3347772,912.6927488,188.9759113,240.3956783,1325.03252,459.94973,233.6128217,171.3354631,378.7012675,202.4078103,326.4799886,522.2972007,3494.516964,414.3597988,251.102084,1181.431006,421.7402383,305.1526166,243.4273506,226.453206,228.2437309, ,,,,,,,,,,,,,,,
0,38,254.6781547,143.3619356,268.7015884,269.210428,248.1441456,241.0508177,519.5551822,928.3368641,197.4013576,329.1899907,32.62379104,115.9996338,47.34474021,295.8771341,247.9270272,1964.839943,147.4422556,783.1501423,37.65231152,143.7570593,143.8725214,21.88434145,67.42463029,17.03912346, ,,,,,,,,,,,,,,,
0,39,32.18226843,394.4148039,63.19501153,304.6078552,69.52690221,125.8232952,147.9883955,1519.433923,42.26104079,161.2267813,24.31132726,77.26240148,7.025131392,396.3098302,11.19648769,1030.206181,38.45914702,155.852343,16.21086671,5.302831681,97.25611039,6.73196375,87.75187242,6.295020447, ,,,,,,,,,,,,,,,
0,40,54.78081325,133.4388595,52.1432893,151.7673083,65.45088144,666.4357609,239.7451283,1779.908703,32.12522381,256.3261926,293.587451,65.34267122,9.950171538,263.5392552,17.8883022,1960.77307,35.12275174,118.1538202,400.4598944,3.64364581,44.94200907,6.758920058,144.1158185,8.387941479, ,,,,,,,,,,,,,,,
