New Model,PolyR
1268.465967,2055.398646
1609.748025,2246.199847
1542.958219,1947.485057
607.4358319,665.9302639
161.9016976,262.3633841
76.20670317,113.0203736
171.7064569,566.8073644
490.206631,1274.579544
969.1017268,1716.274131
1306.361389,1734.145991
1041.757384,1115.266312
1180.360226,1488.594282
761.4957373,828.0888376
481.8190619,533.7992838
203.8529379,458.2806495
260.1652301,722.2129269
625.0795396,926.0671679
473.827449,712.5034523
758.7413025,1004.776334
107.2357923,106.5532366
20.70076133,217.1415505
0.084687288,242.693108
0.085657483,54.04487018
25.16256437,25.19668042
9.34692266,31.2905018
1.90629196,438102.1872
0.231551951,16331.23357
0,1.254153354
0.050385153,218.0456183
0.097082779,23.00029206
2.524158347,2.662183989
44.30763828,64.45584285
132.3131901,272.7710045
362.2389299,471.6600203
271.9597376,1097.340389
79.13034765,106.7959245
116.0541034,117.9920743
386.9528929,430.8306486
233.5084838,252.0403201
449.7253802,494.7680482
366.6202499,462.1432915
752.6797507,912.2867864
492.4414126,1199.023165
881.1187629,1561.424936
973.7783513,1587.261739
495.1052464,1092.073735
341.0180137,1358.359468
638.8949547,774.1208287
491.9105113,791.1076213
469.4648503,1085.537147
600.3272477,1482.593696
1395.877698,2267.126359
1315.719209,2032.839909
1177.526161,1418.918029
238.6123693,263.8521188
61.22965372,62.6959755
114.27777,116.4448084
283.8134862,467.5006613
470.075209,1060.123594
676.409365,1224.587018
257.31266,833.9583143
309.1365953,770.5829839
728.1389609,1001.758754
859.3134674,911.4503837
1002.705015,1111.553749
107.1253982,814.0324888
310.2438123,798.9662171
1161.632797,1430.871029
923.218659,1205.916633
650.0353532,690.8174625
25.91365253,28.25580064
1.115230151,59.54621661
0.091828437,14.44658189
0.575187897,0.580843584
0.005486726,1.815011296
0,0.022812112
0.698323671,2712.746642
0,1634.158786
0,4.718241628
0.127138425,5.114568869
0,5.196390366
21.81616386,486.6346101
30.72525788,123.7327354
338.5658721,348.2971998
166.5106849,225.6377843
