Place,Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
2388,38,6, LR, SVR,135.2323742,34.37135413,297.7367178,120.5140766,100,99.79061977
2389,38,7, RF, RF,30.62192851,13.85654448,373.4399314,129.7664867,100,99.79070741
2390,38,8, KNN, KNN,188.803178,57.23253718,696.5791469,217.1784629,100,99.79079498
2391,38,9, KNN, SVR,243.1737044,59.36093783,703.4812896,255.7144619,100,99.79088248
2392,38,10, RF, KNN,158.325336,56.10958113,362.670202,184.2854989,100,99.7909699
2393,38,11, KNN, KNN,118.5663388,43.81291386,259.5980121,109.0241415,100,99.79105725
2394,38,12, KNN, KNN,193.3346282,62.24293092,278.8913747,124.2451501,100,99.79114453
2395,38,13, RF, KNN,171.6312334,49.04816828,386.6060175,146.6629613,100,99.79123173
2396,38,14, KNN, KNN,139.1374694,35.72372251,258.6011239,112.1438683,100,99.79131886
2397,38,15, KNN, SVR,90.89075906,39.27545668,331.9665311,175.6614583,100,99.79140592
2398,38,16, RF, SVR,305.3150164,95.10688935,463.1387053,232.3522445,100,99.79149291
2399,38,17, KNN, KNN,237.1605995,104.0342647,421.798164,188.7761805,100,99.79157982
2400,38,18, RF, RF,340.6486654,127.3192578,426.380386,228.0495695,100,99.79166667
2401,38,19, KNN, KNN,310.6846938,131.730645,596.0139302,265.5484835,100,99.79175344
2402,38,20, LR, KNN,261.2930725,87.65989395,722.5195862,378.5883557,100,99.79184013
2403,38,21, KNN, KNN,97.92104371,39.8728172,646.17338,354.409035,100,99.79192676
2404,38,22, KNN, KNN,372.0884015,138.3281883,728.6707565,334.1220006,100,99.79201331
2405,38,23, LR, KNN,286.4957857,136.8723242,597.2872626,334.7826968,100,99.79209979
2406,38,24, LR, LR,686.3799657,270.3198405,1204.306996,559.141784,100,99.7921862
2407,38,25, KNN, KNN,212.8816488,75.33028096,1035.137405,478.1385057,100,99.79227254
2408,38,26, RF, RF,267.6807822,90.54992132,1152.940943,469.4752752,100,99.7923588
2409,38,27, KNN, KNN,50.4322843,14.58155691,343.3154857,120.2671564,100,99.792445
2410,38,28, KNN, SVR,72.38297141,28.48676377,261.1186337,95.66441952,100,99.79253112
2411,38,29, KNN, SVR,179.4659383,58.12489278,570.800182,191.6256157,100,99.79261717
2412,38,30, LR, SVR,52.70260899,25.22152706,295.2270313,110.2878205,100,99.79270315
2413,38,31, NN, SVR,13.86089224,6.484968501,282.4375769,97.6781684,100,99.79278906
2414,38,32, KNN, SVR,136.7965129,52.18822063,269.3061486,101.3135169,100,99.7928749
2415,38,33, KNN, SVR,230.3755245,76.59742425,255.7978985,89.16464396,100,99.79296066
2416,38,34, KNN, KNN,193.6953706,62.14579792,232.8407346,87.51804933,100,99.79304636
2417,38,35, KNN, SVR,128.8386458,43.5815769,184.9494468,70.76635915,100,99.79313198
2418,38,36, KNN, SVR,211.5994516,73.93877253,317.7327179,122.3809863,100,99.79321754
2419,38,37, RF, NN,157.7784886,64.85809701,272.1628668,106.3483781,100,99.79330302
2420,38,38, KNN, KNN,181.3836412,75.68533842,197.5560854,102.1655752,100,99.79338843
2421,38,39, KNN, SVR,169.1730582,64.06054989,270.2836884,116.8920464,100,99.79347377
2422,38,40, KNN, NN,264.2376816,96.09242809,291.9868078,80.87465123,100,99.75227085
2423,38,41, KNN, KNN,100.694651,33.46074859,267.1524922,78.87801439,100,99.75237309
2424,38,42, LR, LR,123.6316247,46.62527584,339.965258,160.9304992,100,99.75247525
2425,38,43, RF, RF,66.62560466,22.80679491,263.8511502,125.8479317,100,99.75257732
2426,38,44, RF, RF,327.9109706,75.4422884,604.3909124,226.7581543,100,99.75267931
2427,38,45, RF, KNN,190.3745646,69.54735846,947.9775342,325.7915963,100,99.75278121
2428,38,46, SVR, SVR,7.121467962,1.675834635,555.0469844,238.1975682,100,99.75288303
2429,38,47, KNN, KNN,217.0232199,100.0340542,691.6377835,323.48858,100,99.75298477
2430,38,48, KNN, KNN,110.7619827,40.73349552,658.2611046,263.3261275,100,99.75308642
2431,38,49, KNN, KNN,106.6781512,31.87059996,619.9812279,256.023061,100,99.75318799
2432,38,50, LR, LR,193.5611738,68.17890153,519.4249369,244.6888178,100,99.75328947
2433,38,51, KNN, KNN,302.4830223,94.83758472,508.6283808,231.923371,100,99.75339088
2434,38,52, KNN, SVR,118.778236,45.17271659,577.518598,184.4859506,100,99.75349219
2435,38,53, RF, SVR,100.5177032,32.05361196,396.6772356,170.5866163,100,99.75359343
2436,38,54, KNN, SVR,29.96878947,6.967179193,452.7325262,165.7354023,100,99.75369458
2437,38,55, RF, SVR,258.5679643,74.20090119,500.7955513,206.3987973,100,99.75379565
2438,38,56, KNN, KNN,176.6342482,76.43721517,616.8540256,229.2597854,100,99.75389664
2439,38,57, NN, SVR,121.4584934,42.2344681,345.459827,123.2198196,100,99.75399754
2440,38,58, KNN, KNN,191.5063106,72.81421111,302.4842808,130.7213029,100,99.75409836
2441,38,59, RF, KNN,186.9560387,82.71756844,407.1571137,190.2258011,100,99.7541991
2442,38,60, LR, KNN,240.6059664,96.76696384,505.6754952,196.0919402,100,99.75429975
2443,38,61, KNN, KNN,427.0380797,164.5133615,1017.402608,352.4284831,100,99.75440033
2444,38,62, KNN, KNN,557.7531434,176.7096876,892.7258602,364.9157903,100,99.75450082
2445,38,63, RF, RF,311.6203357,110.9845822,924.4206566,367.6802628,100,99.75460123
2446,38,64, KNN, KNN,307.9465959,113.2358789,1221.219342,466.2447224,100,99.75470155
2447,38,65, RF, RF,246.7831248,91.31487231,1855.17175,513.4325707,100,99.7548018
2448,39,1, NN, NN,23.35675633,3.084339302,489.0213293,141.1050145,100,99.75490196
2449,39,2, LR, SVR,17.64994045,3.845760387,418.7810923,117.8793098,100,99.75500204
2450,39,3, SVR, SVR,27.47439571,3.650179166,409.5365452,119.0458452,100,99.75510204
2451,39,4, KNN, SVR,17.22645922,5.506233569,333.2589005,134.1477385,100,99.75520196
2452,39,5, RF, RF,32.1158474,12.87658261,145.0842911,51.250568,100,99.75530179
2453,39,6, KNN, SVR,67.37129874,25.43998158,336.699183,120.0557684,100,99.75540155
2454,39,7, KNN, KNN,169.4818473,44.95628258,330.9268732,94.11627803,100,99.75550122
2455,39,8, LR, SVR,73.48297756,38.50073107,343.1607738,128.3302165,100,99.75560081
2456,39,9, NN, SVR,154.0803542,45.03979984,577.9373472,208.5446837,100,99.75570033
2457,39,10, KNN, SVR,190.195482,61.84940809,501.6931644,209.7418518,100,99.75579976
